frame_no,frame_type,temporal,layer,qid,qp,y_psnr,u_psnr,v_psnr,bits
154,P,1,2,0,29,37.9259,39.2551,38.1418,67320
153,P,2,0,0,34,35.3402,35.5448,33.4473,8912
153,P,2,1,0,33,35.468,36.5941,34.5316,14024
153,P,2,2,0,30,37.056,38.0567,36.4384,39088
155,P,2,0,0,34,35.4286,35.5652,33.5974,8744
155,P,2,1,0,33,35.4703,36.4148,34.617,13920
155,P,2,2,0,30,36.7616,38.2949,36.9284,42880
160,P,0,0,0,30,36.1504,38.0147,36.6672,71168
160,P,0,1,0,29,37.1076,38.9962,37.8957,68912
160,P,0,2,0,26,39.7852,41.7627,41.7453,157120
158,P,1,0,0,33,35.7791,35.9152,34.1353,14320
158,P,1,1,0,32,35.9595,37.2133,35.5579,26568
158,P,1,2,0,29,37.8859,39.3132,38.5422,69672
157,P,2,0,0,34,35.392,35.6196,33.4861,7864
157,P,2,1,0,33,35.2656,36.6092,34.5403,13808
157,P,2,2,0,30,36.6904,38.271,36.82,42712
159,P,2,0,0,34,35.3417,35.5512,33.6027,9208
159,P,2,1,0,33,35.2473,36.5174,34.6031,14224
159,P,2,2,0,30,36.7459,38.2404,37.1773,40552
164,P,0,0,0,30,36.115,38.121,36.6044,63856
164,P,0,1,0,29,36.9869,39.0419,37.7174,67272
164,P,0,2,0,26,39.6634,41.7055,41.9126,156944
162,P,1,0,0,33,35.674,35.7783,34.0678,14432
162,P,1,1,0,32,35.9919,37.0515,35.2298,23416
162,P,1,2,0,29,37.935,39.1274,38.6573,70832
161,P,2,0,0,34,35.2778,35.5483,33.5171,8480
161,P,2,1,0,33,35.1533,36.6397,34.6441,15168
161,P,2,2,0,30,36.761,37.9935,36.6702,36768
163,P,2,0,0,34,35.2862,35.4042,33.8283,8120
163,P,2,1,0,33,35.2396,36.3706,34.772,13624
163,P,2,2,0,30,36.5225,38.0032,36.7487,40408
168,P,0,0,0,30,36.0683,37.9784,36.7713,65120
168,P,0,1,0,29,36.9485,39.0758,37.8354,65560
168,P,0,2,0,26,39.5966,41.7992,41.8475,157040
166,P,1,0,0,33,35.6385,35.8114,34.7616,15384
166,P,1,1,0,32,35.8912,37.0225,35.7411,24384
166,P,1,2,0,29,37.7481,39.243,38.9439,72432
165,P,2,0,0,34,35.2245,35.3682,33.938,8480
165,P,2,1,0,33,35.15,36.4096,34.6631,14032
165,P,2,2,0,30,36.6087,38.0103,37.0682,41656
167,P,2,0,0,34,35.193,35.6742,33.9831,9728
167,P,2,1,0,33,35.1965,36.6396,34.5187,12408
167,P,2,2,0,30,36.5057,38.3267,37.3022,43600
172,P,0,0,0,30,35.796,37.7483,36.6383,54120
172,P,0,1,0,29,36.8745,38.985,38.0818,70808
172,P,0,2,0,26,39.5009,41.7711,41.861,157176
170,P,1,0,0,33,35.4684,35.7739,34.2117,13848
170,P,1,1,0,32,35.7916,36.9036,35.3621,22264
170,P,1,2,0,29,37.6595,39.1371,38.6967,69248
169,P,2,0,0,34,35.2004,35.5216,34.4615,11208
169,P,2,1,0,33,35.2236,36.471,35.0679,14376
169,P,2,2,0,30,36.7047,38.1044,37.5073,40072
171,P,2,0,0,34,35.1792,35.5592,34.1039,10240
171,P,2,1,0,33,35.1907,36.4644,34.8564,12584
171,P,2,2,0,30,36.7244,38.2994,37.4998,36560
176,P,0,0,0,30,35.6393,37.4237,36.2985,62624
176,P,0,1,0,29,36.678,38.6294,37.5009,60424
176,P,0,2,0,26,39.4577,41.5864,41.9192,160576
174,P,1,0,0,33,35.2023,35.6684,34.4586,14816
174,P,1,1,0,32,35.544,36.8566,35.7858,24288
174,P,1,2,0,29,37.4265,39.3157,38.8332,74056
173,P,2,0,0,34,35.0908,35.6364,34.1085,9992
173,P,2,1,0,33,35.2243,36.6247,35.1179,12240
173,P,2,2,0,30,36.7597,38.1456,37.3842,36992
175,P,2,0,0,34,34.9282,35.2112,33.9674,8792
175,P,2,1,0,33,35.2292,36.4292,35.0435,12752
175,P,2,2,0,30,36.8528,38.0045,37.3737,34896
180,P,0,0,0,30,35.6597,37.9108,37.1285,65112
180,P,0,1,0,29,36.7222,38.9134,38.2261,72104
180,P,0,2,0,26,39.4122,41.5857,41.9397,159824
178,P,1,0,0,33,35.1733,36.1453,35.0488,17328
178,P,1,1,0,32,35.5731,37.1031,36.023,22080
178,P,1,2,0,29,37.4292,39.1929,39.0938,70240
177,P,2,0,0,34,35.062,35.1602,33.9631,7912
177,P,2,1,0,33,34.998,36.3537,35.0754,15000
177,P,2,2,0,30,36.7971,38.123,37.4017,35704
179,P,2,0,0,34,35.1456,35.3661,34.134,7848
179,P,2,1,0,33,35.133,36.347,35.1276,14288
179,P,2,2,0,30,36.8211,38.1489,37.6594,33832
184,P,0,0,0,30,35.3412,37.7449,36.9922,59200
184,P,0,1,0,29,36.5002,38.7485,37.9038,64872
184,P,0,2,0,26,39.2856,41.5424,41.728,163016
182,P,1,0,0,33,35.0173,35.4404,34.3834,14912
182,P,1,1,0,32,35.381,36.6945,35.7132,24536
182,P,1,2,0,29,37.3191,38.9776,39.0801,74960
181,P,2,0,0,34,34.9913,35.225,34.1061,8392
181,P,2,1,0,33,35.0925,36.1852,35.0805,14088
181,P,2,2,0,30,36.912,37.8649,37.6891,34160
183,P,2,0,0,34,34.8092,35.1659,34.1747,9688
183,P,2,1,0,33,35.1253,36.0481,34.9682,12640
183,P,2,2,0,30,36.8818,38.0515,37.618,35704
188,P,0,0,0,30,35.3191,38.0851,37.4922,69520
188,P,0,1,0,29,36.4824,38.7869,38.2397,71224
188,P,0,2,0,26,39.2456,41.3381,41.9283,168232
186,P,1,0,0,33,35.0593,35.6067,34.9049,17200
186,P,1,1,0,32,35.4906,36.7138,36.0129,24072
186,P,1,2,0,29,37.4867,39.1282,39.3002,69920
185,P,2,0,0,34,34.8562,34.8748,33.8489,8344
185,P,2,1,0,33,35.0266,36.0159,34.8206,14320
185,P,2,2,0,30,36.8103,37.8542,37.4904,37408
187,P,2,0,0,34,34.8325,34.6829,34.2143,8656
187,P,2,1,0,33,34.8657,35.7677,34.9,15720
187,P,2,2,0,30,36.8686,37.872,37.4209,36560
192,I,0,0,0,30,35.8089,38.8791,38.3515,111784
192,I,0,1,0,29,36.514,38.8733,38.3994,69080
192,I,0,2,0,26,39.1612,41.4037,41.778,173744
190,P,1,0,0,33,35.3134,35.7191,35.0385,17600
190,P,1,1,0,32,35.4725,36.6666,35.812,27176
190,P,1,2,0,29,37.5177,39.1249,39.4215,73192
189,P,2,0,0,34,34.9999,35.3564,34.0972,10816
189,P,2,1,0,33,35.0261,35.8729,34.6526,13512
189,P,2,2,0,30,36.8625,37.6058,37.5086,38928
191,P,2,0,0,34,34.9957,34.9903,34.3786,9672
191,P,2,1,0,33,34.9887,35.5559,34.8946,15136
191,P,2,2,0,30,36.9368,37.8722,37.4908,36176
196,P,0,0,0,30,35.2831,37.5252,37.2626,50640
196,P,0,1,0,29,36.1659,38.3097,38.0608,61312
196,P,0,2,0,26,39.0501,41.0999,41.7261,170696
194,P,1,0,0,33,35.1158,35.0553,34.3636,13512
194,P,1,1,0,32,35.3711,36.1218,35.5222,26928
194,P,1,2,0,29,37.4538,38.8458,39.1462,72376
193,P,2,0,0,34,35.1477,34.9846,34.3033,7512
193,P,2,1,0,33,34.9275,35.6503,35.0261,15336
193,P,2,2,0,30,36.8586,37.7625,37.6288,38448
195,P,2,0,0,34,34.7537,34.6775,34.0237,9736
195,P,2,1,0,33,34.7391,35.2607,34.814,13544
195,P,2,2,0,30,36.7129,37.6604,37.5054,38728
200,P,0,0,0,30,34.8368,37.2861,37.1793,61584
200,P,0,1,0,29,36.1202,38.1119,37.9357,79168
200,P,0,2,0,26,39.0088,40.9645,41.6348,182856
198,P,1,0,0,33,34.5787,34.8184,34.3674,16088
198,P,1,1,0,32,34.9743,35.8501,35.5325,25832
198,P,1,2,0,29,37.1093,38.641,38.9147,77456
197,P,2,0,0,34,34.4106,34.2467,34.0252,10656
197,P,2,1,0,33,34.6779,35.1961,35.0184,14264
197,P,2,2,0,30,36.6818,37.5545,37.3415,39800
199,P,2,0,0,34,34.2908,34.3235,33.8608,9872
199,P,2,1,0,33,34.6071,35.1359,34.8785,15480
199,P,2,2,0,30,36.4673,37.3202,37.2999,39088
204,P,0,0,0,30,34.6924,36.7071,36.8905,65160
204,P,0,1,0,29,35.8318,38.0534,37.9891,72848
204,P,0,2,0,26,38.935,40.9594,41.5894,189128
202,P,1,0,0,33,34.1769,34.6763,34.5739,19104
202,P,1,1,0,32,34.8121,35.8061,35.6442,28136
202,P,1,2,0,29,36.8818,38.3351,39.012,79176
201,P,2,0,0,34,34.0829,34.0746,33.7548,10720
201,P,2,1,0,33,34.4583,34.9406,34.7947,16600
201,P,2,2,0,30,36.4165,37.2331,37.2512,38392
203,P,2,0,0,34,34.0969,34.2096,33.8399,9712
203,P,2,1,0,33,34.2998,35.2444,34.9078,15968
203,P,2,2,0,30,36.1718,37.122,37.2279,41904
208,P,0,0,0,30,34.6611,37.3993,37.4894,73304
208,P,0,1,0,29,35.9289,37.8509,37.8721,77600
208,P,0,2,0,26,38.8339,40.7965,41.6246,192776
206,P,1,0,0,33,34.1072,34.8002,35.0343,19248
206,P,1,1,0,32,34.6275,35.8482,35.9506,31576
206,P,1,2,0,29,36.6305,38.386,38.8304,87112
205,P,2,0,0,34,33.9834,33.8128,33.9085,10904
205,P,2,1,0,33,34.3066,34.8786,34.9388,16056
205,P,2,2,0,30,36.1249,37.0926,37.2668,42144
207,P,2,0,0,34,33.9019,34.4171,34.2202,11032
207,P,2,1,0,33,34.2538,35.1032,35.2622,15768
207,P,2,2,0,30,36.0079,36.9921,37.4114,42176
212,P,0,0,0,30,34.6676,36.9604,36.9345,78736
212,P,0,1,0,29,35.923,37.8564,37.9524,79512
212,P,0,2,0,26,38.7959,40.7855,41.5524,196192
210,P,1,0,0,33,33.9458,34.6083,34.5631,19496
210,P,1,1,0,32,34.5144,35.6581,35.8134,29680
210,P,1,2,0,29,36.5269,38.1736,38.8201,87032
209,P,2,0,0,34,34.12,34.517,34.3837,10432
209,P,2,1,0,33,34.1805,35.0915,35.1663,17456
209,P,2,2,0,30,36.0832,36.9189,37.1924,41144
211,P,2,0,0,34,33.9698,34.1753,34.0173,11128
211,P,2,1,0,33,34.1106,35.1871,34.9032,17512
211,P,2,2,0,30,35.6608,36.7406,37.0837,48840
216,P,0,0,0,30,34.7267,36.8495,36.9051,86320
216,P,0,1,0,29,35.9432,37.6893,37.9234,85944
216,P,0,2,0,26,38.742,40.6368,41.4711,205704
214,P,1,0,0,33,34.0665,34.5995,34.6915,21464
214,P,1,1,0,32,34.503,35.7183,35.5934,33336
214,P,1,2,0,29,36.5019,38.2111,38.7504,95552
213,P,2,0,0,34,34.0466,33.9446,34.0673,13160
213,P,2,1,0,33,34.134,34.9942,34.8686,18440
213,P,2,2,0,30,35.8458,36.6862,36.9694,48736
215,P,2,0,0,34,33.9112,33.9455,33.793,12480
215,P,2,1,0,33,34.0886,34.7645,34.8981,17368
215,P,2,2,0,30,35.5131,36.6393,37.0518,53040
220,P,0,0,0,30,34.7524,36.9264,36.7807,88528
220,P,0,1,0,29,35.795,37.569,37.668,84752
220,P,0,2,0,26,38.682,40.5191,41.5057,210760
218,P,1,0,0,33,34.1921,34.4139,34.8223,23216
218,P,1,1,0,32,34.5648,35.4351,35.7724,33112
218,P,1,2,0,29,36.5872,37.8574,38.1972,90208
217,P,2,0,0,34,33.8646,33.9913,33.9673,14064
217,P,2,1,0,33,33.8987,34.7976,34.8122,19120
217,P,2,2,0,30,35.4728,36.6235,36.948,54256
219,P,2,0,0,34,33.8488,33.9385,33.9252,12648
219,P,2,1,0,33,33.7655,34.7296,34.7584,19120
219,P,2,2,0,30,35.2621,36.4258,36.9285,56040
224,P,0,0,0,30,34.6081,36.39,36.6027,84728
224,P,0,1,0,29,35.7143,37.5182,37.7181,93824
224,P,0,2,0,26,38.5922,40.4613,41.4013,217208
222,P,1,0,0,33,34.1937,33.8936,34.2079,19536
222,P,1,1,0,32,34.4383,35.3533,35.6699,37680
222,P,1,2,0,29,36.6181,37.5679,38.271,94448
221,P,2,0,0,34,33.6928,33.6631,33.6589,14376
221,P,2,1,0,33,33.6726,34.4702,34.5534,19832
221,P,2,2,0,30,35.1648,36.3228,36.7625,57848
223,P,2,0,0,34,33.5907,33.4318,33.6001,13112
223,P,2,1,0,33,33.5965,34.408,34.693,18912
223,P,2,2,0,30,34.9789,36.226,36.7628,62288
228,P,0,0,0,30,34.5282,36.4319,36.598,89328
228,P,0,1,0,29,35.5383,37.1956,37.5169,84512
228,P,0,2,0,26,38.5511,40.3505,41.3739,221376
226,P,1,0,0,33,34.1136,33.6157,34.2808,22496
226,P,1,1,0,32,34.5191,34.8752,35.206,34632
226,P,1,2,0,29,36.7121,37.2939,37.8603,89448
225,P,2,0,0,34,33.4586,33.0714,33.6333,12648
225,P,2,1,0,33,33.504,34.1271,34.6438,20752
225,P,2,2,0,30,34.9695,36.178,36.674,60816
227,P,2,0,0,34,33.3737,33.1183,33.6328,12288
227,P,2,1,0,33,33.4612,34.2688,34.6143,20480
227,P,2,2,0,30,34.9415,36.1015,36.7859,61080
232,P,0,0,0,30,34.4565,35.8356,36.0042,89536
232,P,0,1,0,29,35.6298,37.0908,37.4916,96608
232,P,0,2,0,26,38.5912,40.3214,41.4114,225824
230,P,1,0,0,33,34.078,33.7355,34.3953,21776
230,P,1,1,0,32,34.4048,34.8503,35.6623,40416
230,P,1,2,0,29,36.7388,37.3133,37.9248,98160
229,P,2,0,0,34,33.2629,32.9149,33.7645,14272
229,P,2,1,0,33,33.3351,34.1165,34.7941,20144
229,P,2,2,0,30,34.9906,35.8426,36.3877,61104
231,P,2,0,0,34,33.3371,32.874,33.3992,12488
231,P,2,1,0,33,33.3898,34.0298,34.6635,20296
231,P,2,2,0,30,34.8779,35.8455,36.7287,64504
236,P,0,0,0,30,34.5517,36.0418,36.8616,107712
236,P,0,1,0,29,35.5871,37.0856,37.665,97552
236,P,0,2,0,26,38.5099,40.2459,41.3187,228960
234,P,1,0,0,33,33.9223,33.6948,34.4989,23760
234,P,1,1,0,32,34.3207,34.7208,35.5682,38832
234,P,1,2,0,29,36.518,37.2281,38.1747,104328
233,P,2,0,0,34,33.3572,32.7682,33.5134,13168
233,P,2,1,0,33,33.2182,33.7098,34.8794,23664
233,P,2,2,0,30,34.8601,35.8125,36.7858,65768
235,P,2,0,0,34,33.4292,32.643,33.8058,12840
235,P,2,1,0,33,33.332,33.6953,34.7566,21624
235,P,2,2,0,30,34.7686,35.7661,36.9211,67696
240,I,0,0,0,30,34.996,37.3758,38.133,151264
240,I,0,1,0,29,35.7187,37.375,38.1356,86056
240,I,0,2,0,26,38.5067,40.2672,41.4626,232320
238,P,1,0,0,33,33.9229,33.934,35.0934,23328
238,P,1,1,0,32,34.1235,34.9557,35.9941,43016
238,P,1,2,0,29,36.2122,37.4149,38.7884,117304
237,P,2,0,0,34,33.6691,33.0101,34.4994,16600
237,P,2,1,0,33,33.5548,33.9089,35.1034,20264
237,P,2,2,0,30,35.0941,35.877,36.9731,65352
239,P,2,0,0,34,33.4208,32.7071,33.8958,11272
239,P,2,1,0,33,33.3345,33.5135,34.7385,20792
239,P,2,2,0,30,34.8364,35.9166,37.2395,66472
244,P,0,0,0,30,34.4501,35.7548,36.5353,83896
244,P,0,1,0,29,35.6571,37.0083,37.9131,112536
244,P,0,2,0,26,38.4861,40.1666,41.3067,233008
242,P,1,0,0,33,33.7871,33.0929,34.2926,19584
242,P,1,1,0,32,34.138,34.2758,35.2641,37984
242,P,1,2,0,29,36.1834,37.4511,38.7056,123800
241,P,2,0,0,34,33.5554,32.6871,34.02,10968
241,P,2,1,0,33,33.3768,33.6062,34.8099,21056
241,P,2,2,0,30,35.0457,35.6828,37.1793,64752
243,P,2,0,0,34,33.8751,32.8273,34.3363,14128
243,P,2,1,0,33,33.6471,33.6485,34.9297,17896
243,P,2,2,0,30,35.1855,35.7415,37.1147,63232
248,P,0,0,0,30,34.5034,36.019,36.2607,97368
248,P,0,1,0,29,35.5075,36.9773,37.5808,99024
248,P,0,2,0,26,38.4684,40.1478,41.3344,238288
246,P,1,0,0,33,33.6356,32.8471,33.9368,21584
246,P,1,1,0,32,33.9691,34.2988,35.3298,37792
246,P,1,2,0,29,36.0373,37.3084,38.9661,130344
245,P,2,0,0,34,33.585,32.3651,34.1891,15336
245,P,2,1,0,33,33.821,33.4369,34.9317,18816
245,P,2,2,0,30,35.3887,35.8131,37.4129,63704
247,P,2,0,0,34,33.6547,32.2189,33.5685,12464
247,P,2,1,0,33,33.5713,33.4733,34.6812,21528
247,P,2,2,0,30,35.0994,35.7225,37.1601,62272
252,P,0,0,0,30,34.5414,36.0153,36.683,95096
252,P,0,1,0,29,35.5965,36.9011,37.7617,106176
252,P,0,2,0,26,38.5088,40.0356,41.3367,239720
250,P,1,0,0,33,33.4802,32.8592,34.034,22792
250,P,1,1,0,32,33.8389,34.2645,35.2324,40368
250,P,1,2,0,29,35.9757,37.4214,38.8505,132480
249,P,2,0,0,34,33.5259,32.2281,33.2692,11640
249,P,2,1,0,33,33.4549,33.4072,34.4628,22432
249,P,2,2,0,30,35.1498,35.6897,37.1979,59520
251,P,2,0,0,34,33.7809,32.3076,34.1062,13952
251,P,2,1,0,33,33.6955,33.1035,34.6314,21488
251,P,2,2,0,30,35.3143,35.6132,37.1849,57616
256,P,0,0,0,30,34.5998,35.6537,36.6032,94896
256,P,0,1,0,29,35.6469,36.7897,37.6658,98184
256,P,0,2,0,26,38.4713,40.0552,41.3098,238912
254,P,1,0,0,33,33.5031,32.8849,34.143,24184
254,P,1,1,0,32,33.821,34.0514,35.4413,38936
254,P,1,2,0,29,35.9437,37.5493,39.06,135856
253,P,2,0,0,34,33.4493,32.1095,33.7473,13544
253,P,2,1,0,33,33.53,33.2099,34.6648,21128
253,P,2,2,0,30,35.2382,35.7384,37.1084,59256
255,P,2,0,0,34,33.6578,32.077,34.0076,14184
255,P,2,1,0,33,33.653,33.1389,34.8366,20080
255,P,2,2,0,30,35.227,35.7991,37.7634,57608
260,P,0,0,0,30,34.5326,35.9574,36.9369,100048
260,P,0,1,0,29,35.5449,36.8715,37.7038,101696
260,P,0,2,0,26,38.4781,40.0603,41.3205,240824
258,P,1,0,0,33,33.5294,32.8281,34.7743,24688
258,P,1,1,0,32,33.8499,34.1019,35.7255,39008
258,P,1,2,0,29,35.9973,37.2667,38.7835,131328
257,P,2,0,0,34,33.6067,32.0741,34.0481,15136
257,P,2,1,0,33,33.5894,33.2493,34.9298,21848
257,P,2,2,0,30,35.1803,35.6436,37.228,60520
259,P,2,0,0,34,33.5581,32.1105,33.7034,12248
259,P,2,1,0,33,33.4508,33.1801,34.7262,22792
259,P,2,2,0,30,35.1585,35.5579,37.1843,59616
264,P,0,0,0,30,34.3471,35.4278,36.6989,95424
264,P,0,1,0,29,35.5572,36.8415,37.7134,103160
264,P,0,2,0,26,38.4945,39.9948,41.2891,243264
262,P,1,0,0,33,33.6578,32.7522,34.6469,22056
262,P,1,1,0,32,33.9759,34.0218,35.6692,40568
262,P,1,2,0,29,36.0193,37.2464,38.9284,123464
261,P,2,0,0,34,33.5678,32.0534,34.1439,13856
261,P,2,1,0,33,33.5637,33.0241,34.996,21864
261,P,2,2,0,30,35.3105,35.4406,37.0813,55376
263,P,2,0,0,34,33.3461,32.2338,34.2201,14752
263,P,2,1,0,33,33.5213,33.0952,34.7811,19688
263,P,2,2,0,30,35.1957,35.5437,37.1976,62384
268,P,0,0,0,30,34.3909,35.9545,37.0582,101704
268,P,0,1,0,29,35.4429,36.8551,37.8326,107288
268,P,0,2,0,26,38.4559,39.9908,41.353,243528
266,P,1,0,0,33,33.8038,32.592,34.4531,22312
266,P,1,1,0,32,34.1904,33.8934,35.3678,35384
266,P,1,2,0,29,36.1583,37.1901,38.7345,112768
265,P,2,0,0,34,33.5644,31.8987,33.6038,12960
265,P,2,1,0,33,33.5737,33.0356,35.1227,22992
265,P,2,2,0,30,35.2015,35.5037,37.3591,63200
267,P,2,0,0,34,33.6539,31.9384,33.7623,12832
267,P,2,1,0,33,33.5596,32.9572,34.7442,21664
267,P,2,2,0,30,35.2793,35.5646,37.3846,61848
272,P,0,0,0,30,34.289,35.7075,37.113,94088
272,P,0,1,0,29,35.3734,37.0437,37.9177,99672
272,P,0,2,0,26,38.4339,40.0336,41.3881,241616
270,P,1,0,0,33,33.7561,32.6497,34.3429,20680
270,P,1,1,0,32,34.164,34.0186,35.5458,40240
270,P,1,2,0,29,36.1631,37.2703,38.8572,114200
269,P,2,0,0,34,33.6165,31.9122,33.6301,11832
269,P,2,1,0,33,33.6737,33.1366,34.494,21160
269,P,2,2,0,30,35.4374,35.5376,37.2171,57664
271,P,2,0,0,34,33.7525,31.8843,34.0028,12912
271,P,2,1,0,33,33.8219,33.1801,34.989,20936
271,P,2,2,0,30,35.75,35.4096,37.2633,51840
276,P,0,0,0,30,34.2831,35.6933,36.9883,88176
276,P,0,1,0,29,35.4288,36.6915,37.878,104736
276,P,0,2,0,26,38.4286,39.9954,41.4072,245552
274,P,1,0,0,33,33.7561,32.6739,34.435,22664
274,P,1,1,0,32,34.1471,33.9467,35.3025,36144
274,P,1,2,0,29,36.1669,37.3512,38.9536,113496
273,P,2,0,0,34,33.6952,31.8918,33.717,12752
273,P,2,1,0,33,33.7929,33.2193,34.7218,20696
273,P,2,2,0,30,35.8266,35.2162,37.3127,53832
275,P,2,0,0,34,33.9369,31.8697,33.3912,11216
275,P,2,1,0,33,33.8845,33.0098,34.594,21480
275,P,2,2,0,30,35.8538,35.4176,37.2206,55736
280,P,0,0,0,30,34.1511,35.4195,36.655,86616
280,P,0,1,0,29,35.4034,36.7734,37.6544,102776
280,P,0,2,0,26,38.4474,40.0184,41.2444,243200
278,P,1,0,0,33,33.818,32.7539,34.4618,21488
278,P,1,1,0,32,34.2266,34.0488,35.3021,38344
278,P,1,2,0,29,36.3474,37.1054,38.6302,102920
277,P,2,0,0,34,33.6934,31.9825,33.7367,12336
277,P,2,1,0,33,33.8111,33.0354,34.7421,20968
277,P,2,2,0,30,36.0358,35.3369,37.1196,51048
279,P,2,0,0,34,33.7333,31.821,33.4971,12800
279,P,2,1,0,33,34.0971,32.8694,34.5512,17744
279,P,2,2,0,30,36.1919,35.2501,37.0229,51504
284,P,0,0,0,30,34.3073,35.4686,36.7687,88920
284,P,0,1,0,29,35.5259,36.707,37.9513,98560
284,P,0,2,0,26,38.4007,40.0287,41.3229,243280
282,P,1,0,0,33,34.1207,32.8215,34.749,24360
282,P,1,1,0,32,34.6105,33.8427,35.6966,37832
282,P,1,2,0,29,36.7533,37.0076,38.6624,100480
281,P,2,0,0,34,33.9522,31.7647,33.5482,12616
281,P,2,1,0,33,34.0651,32.9679,34.6585,20480
281,P,2,2,0,30,36.3116,35.2961,36.9776,49240
283,P,2,0,0,34,33.9725,31.9425,33.88,12200
283,P,2,1,0,33,34.1178,33.0497,34.9015,20128
283,P,2,2,0,30,36.298,35.2587,36.939,51800
288,I,0,0,0,30,33.8923,36.4307,39.1964,190856
288,I,0,1,0,29,34.6143,36.4307,39.1964,104664
288,I,0,2,0,26,37.2966,39.382,42.0435,289640
286,P,1,0,0,33,32.3426,33.5041,37.0677,90520
286,P,1,1,0,32,32.4947,35.0149,38.1886,110264
286,P,1,2,0,29,34.8529,37.2101,40.4567,209880
285,P,2,0,0,34,30.9387,32.9664,36.5284,73656
285,P,2,1,0,33,30.785,33.2409,36.8292,69344
285,P,2,2,0,30,32.8278,35.1355,38.7274,155800
287,P,2,0,0,34,31.4282,31.8137,36.3635,55784
287,P,2,1,0,33,30.8521,33.0699,36.7561,76816
287,P,2,2,0,30,32.9961,34.9559,38.6341,139248
292,P,0,0,0,30,33.8204,36.1422,38.9596,170760
292,P,0,1,0,29,34.6073,36.4818,39.1812,129544
292,P,0,2,0,26,37.3157,39.4025,42.0442,291792
290,P,1,0,0,33,33.0194,32.631,36.3687,51680
290,P,1,1,0,32,32.9726,34.5466,37.9247,101664
290,P,1,2,0,29,35.0392,36.9821,40.2412,191672
289,P,2,0,0,34,32.4006,31.8226,36.2083,41720
289,P,2,1,0,33,31.1974,33.0883,36.8454,75776
289,P,2,2,0,30,32.9787,35.0638,38.7167,145280
291,P,2,0,0,34,32.9143,30.8059,35.7182,24336
291,P,2,1,0,33,31.8998,32.6231,36.5785,61464
291,P,2,2,0,30,33.7523,34.7067,38.4325,107360
296,P,0,0,0,30,33.7833,35.3892,38.4483,129760
296,P,0,1,0,29,34.6515,36.3621,39.2124,140736
296,P,0,2,0,26,37.2924,39.3187,42.0206,289504
294,P,1,0,0,33,33.0804,32.132,36.2169,43016
294,P,1,1,0,32,33.0636,34.1543,37.7429,94912
294,P,1,2,0,29,35.0885,36.7396,40.1959,183936
293,P,2,0,0,34,32.911,31.1577,35.9076,24872
293,P,2,1,0,33,31.9715,32.7772,36.5879,61192
293,P,2,2,0,30,33.7978,34.6249,38.4241,110368
295,P,2,0,0,34,32.9582,30.7461,35.457,24376
295,P,2,1,0,33,32.3786,32.2403,36.5186,50336
295,P,2,2,0,30,33.9525,34.715,38.2713,105288
300,P,0,0,0,30,33.7441,35.4481,38.571,144768
300,P,0,1,0,29,34.5884,36.132,39.0209,116128
300,P,0,2,0,26,37.274,39.3558,42.0473,287808
298,P,1,0,0,33,33.1309,31.9581,35.8602,41912
298,P,1,1,0,32,33.1585,33.7948,37.5223,83336
298,P,1,2,0,29,35.1411,36.748,40.0553,180960
297,P,2,0,0,34,32.9287,30.5515,35.3328,24208
297,P,2,1,0,33,32.3773,32.4755,36.5588,51128
297,P,2,2,0,30,33.8046,34.7756,38.2481,112168
299,P,2,0,0,34,33.011,30.7805,35.6262,24592
299,P,2,1,0,33,32.3108,32.3361,36.4609,53232
299,P,2,2,0,30,33.8496,34.8439,38.4145,111456
304,P,0,0,0,30,33.7446,35.5841,38.5729,138320
304,P,0,1,0,29,34.6126,36.1984,39.0892,135040
304,P,0,2,0,26,37.3232,39.3119,42.0296,289768
302,P,1,0,0,33,33.0555,31.717,35.7968,39904
302,P,1,1,0,32,33.1414,33.894,37.381,85968
302,P,1,2,0,29,35.1082,36.8129,40.0696,178664
301,P,2,0,0,34,32.9405,30.8195,35.7309,23952
301,P,2,1,0,33,32.2951,32.4606,36.486,51960
301,P,2,2,0,30,33.8856,34.7288,38.4602,111760
303,P,2,0,0,34,32.9283,30.6645,35.4668,24360
303,P,2,1,0,33,32.3511,32.5034,36.4596,51112
303,P,2,2,0,30,34.0195,34.5595,38.2494,106504
308,P,0,0,0,30,33.6832,35.2982,38.4653,140928
308,P,0,1,0,29,34.5649,36.1452,39.0483,121616
308,P,0,2,0,26,37.2788,39.2744,41.9869,288952
306,P,1,0,0,33,33.0554,31.8807,35.8624,43480
306,P,1,1,0,32,33.1423,33.7808,37.5501,84040
306,P,1,2,0,29,35.1653,36.6536,40.0169,178096
305,P,2,0,0,34,32.975,30.7309,35.3862,24632
305,P,2,1,0,33,32.366,32.4951,36.6347,50952
305,P,2,2,0,30,33.8223,34.6545,38.439,113928
307,P,2,0,0,34,32.9286,30.461,35.5104,24120
307,P,2,1,0,33,32.2366,32.487,36.5461,54192
307,P,2,2,0,30,33.9226,34.475,38.3444,108016
312,P,0,0,0,30,33.6623,35.1066,38.4434,133848
312,P,0,1,0,29,34.5999,36.0906,39.0232,128456
312,P,0,2,0,26,37.2647,39.3534,41.9863,289328
310,P,1,0,0,33,32.9854,31.8685,35.9172,42744
310,P,1,1,0,32,33.1095,33.9307,37.5925,87368
310,P,1,2,0,29,35.1247,36.6857,40.0136,182424
