frame_no,frame_type,temporal,layer,qid,qp,y_psnr,u_psnr,v_psnr,bits
29,P,2,1,0,33,39.8155,43.8047,44.1272,3120
29,P,2,2,0,30,43.7178,45.772,45.993,5776
31,P,2,0,0,34,39.4374,42.2215,42.9615,7192
31,P,2,1,0,33,41.156,42.465,43.315,3832
31,P,2,2,0,30,43.3171,45.2602,45.5542,6480
36,P,0,0,0,30,42.6984,45.4241,44.6923,22712
36,P,0,1,0,29,43.359,45.4497,44.9171,14680
36,P,0,2,0,26,45.9113,47.7879,47.4624,29768
34,P,1,0,0,33,41.248,42.8955,43.4683,12176
34,P,1,1,0,32,41.9405,44.4311,44.0775,7088
34,P,1,2,0,29,44.2208,46.3485,45.8905,13016
33,P,2,0,0,34,40.0604,42.0271,43.0167,7616
33,P,2,1,0,33,40.9493,41.8229,43.2104,4272
33,P,2,2,0,30,42.8425,44.9523,45.3621,7096
35,P,2,0,0,34,39.2933,42.0772,42.8283,8184
35,P,2,1,0,33,40.4237,42.1332,43.0074,4840
35,P,2,2,0,30,42.4056,44.5754,44.6766,8224
40,P,0,0,0,30,42.2449,44.4909,43.804,26888
40,P,0,1,0,29,42.9121,44.5282,43.8496,18376
40,P,0,2,0,26,45.5422,47.0301,46.7929,36904
38,P,1,0,0,33,40.2398,43.0202,42.3854,12784
38,P,1,1,0,32,41.0805,43.7634,43.2716,8232
38,P,1,2,0,29,43.3899,45.3495,45.1431,17160
37,P,2,0,0,34,39.7207,41.4065,41.9281,8096
37,P,2,1,0,33,40.2344,41.6264,41.8509,5088
37,P,2,2,0,30,42.0796,44.4035,44.2951,8864
39,P,2,0,0,34,39.5961,41.0729,41.4312,8648
39,P,2,1,0,33,40.272,41.6421,41.2386,6384
39,P,2,2,0,30,41.7499,43.7299,43.8038,10392
44,P,0,0,0,30,41.7397,43.9358,43.0605,33456
44,P,0,1,0,29,42.4665,43.9445,43.1021,21632
44,P,0,2,0,26,45.1823,46.5182,46.2216,45272
42,P,1,0,0,33,39.8753,42.1545,41.8019,15096
42,P,1,1,0,32,40.5474,42.987,42.3827,11288
42,P,1,2,0,29,42.9028,44.6787,44.5729,23952
41,P,2,0,0,34,39.1883,40.8873,40.9154,9368
41,P,2,1,0,33,39.7869,40.8826,40.9539,7480
41,P,2,2,0,30,41.4741,43.4752,43.3214,12328
43,P,2,0,0,34,39.0356,40.8771,40.3616,10424
43,P,2,1,0,33,39.6777,40.7575,40.7274,8352
43,P,2,2,0,30,41.3678,43.2111,43.0763,13592
48,I,0,0,0,30,41.4431,43.1552,42.4938,37560
48,I,0,1,0,29,42.1687,43.1925,42.5942,24304
48,I,0,2,0,26,44.9158,45.8837,45.7619,54888
46,P,1,0,0,33,40.1016,41.6849,40.8292,18976
46,P,1,1,0,32,40.2983,42.286,41.6482,15488
46,P,1,2,0,29,42.5561,44.1262,44.1194,34032
45,P,2,0,0,34,38.8104,40.6015,40.2349,11032
45,P,2,1,0,33,39.4182,40.7149,40.3623,8856
45,P,2,2,0,30,41.0121,42.9338,42.5406,15840
47,P,2,0,0,34,38.6172,40.1731,39.5614,12336
47,P,2,1,0,33,39.0967,40.2804,39.8865,10928
47,P,2,2,0,30,41.0598,42.4007,42.1469,16928
52,P,0,0,0,30,41.0546,42.8643,42.1038,38424
52,P,0,1,0,29,42.057,42.8723,42.1529,31040
52,P,0,2,0,26,44.6538,45.622,45.4826,60408
50,P,1,0,0,33,40.381,40.1957,39.356,11312
50,P,1,1,0,32,40.5708,41.1511,40.4737,14616
50,P,1,2,0,29,42.4599,43.5737,43.4141,30344
49,P,2,0,0,34,38.1478,39.9486,39.4461,12704
49,P,2,1,0,33,38.8509,40.3038,39.4918,11544
49,P,2,2,0,30,40.7821,42.0171,41.9284,21392
51,P,2,0,0,34,39.917,39.2309,38.0335,5360
51,P,2,1,0,33,39.5894,39.562,38.8387,8024
51,P,2,2,0,30,41.4981,41.6175,41.6299,19960
56,P,0,0,0,30,40.0322,41.7338,40.4791,23448
56,P,0,1,0,29,41.5333,42.6802,41.9579,32264
56,P,0,2,0,26,44.4601,45.7159,45.4814,61032
54,P,1,0,0,33,39.6399,39.4102,38.52,8472
54,P,1,1,0,32,39.9282,40.3859,40.0979,14064
54,P,1,2,0,29,41.9344,43.3394,43.2934,33272
53,P,2,0,0,34,39.7306,39.2362,38.4701,5928
53,P,2,1,0,33,39.6437,39.7424,39.1128,7424
53,P,2,2,0,30,41.5233,41.6358,41.6337,18680
55,P,2,0,0,34,38.9786,39.2583,38.0149,6272
55,P,2,1,0,33,39.0484,39.4267,38.7476,7696
55,P,2,2,0,30,41.1526,41.6159,41.1504,16328
